['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 33', '', 'Countermovement Jump', '12/12/2019 10:43', '63.3', 'Trial 3', '', '', '', '115.00', '39.77', '0.276', '5305', '240', '39.0', '79.8', '151.9', '1400', '1251', '26.3', '1663', '23.0', '1458', '2.53', '-446', '421', '-1772', '7.2', '455', '270.6', '17131.7', '289.6', '18332.5', '270.7', '17132.7', '98', '152.9', '694', '-27.5', '189.2', '49.7', '0.302', '40.1', '33', '2106', '67', '4264', '75.6', '0.152', '82', '5217', '454', '766.3', '1117.2', '622', '5.923', '375', '22.3', '1413', '1019', '-1.194', '-75.6', '0.72', '1.10', '500', '1349', '1413', '30.6', '12.1', '29.3', '29.3', '11.6', '4282.82', '1184.7', '236.2', '0.552', '0.631', '96.5', '55.4', '13.2', '47.9', '3033', '13.223', '454.4', '235.9', '0.44', '13.614', '13.890', '13.738', '13.436', '13.436', '19.761', '23.0', '1458', '0.178', '571', '2.249', '1699.537', '93.475', '35.448', '52084', '542.642', '35.448', '45', '2865', '6895', '0.805', '', '1.0', '-1.5', '-1.2', '-5.6', '62.5', '-5.6', '1.0', '-15.7', '', '-4.6', '-6.0', '-58.9', '-5.3', '-3.7', '12.0', '-9.9', '1.9', '-18.8', '-3.3', '1.9', '-0.7', '-11.7', '1.1', '-3.4', '', '1.0', '-51.7', '-29.8', '', '', '2645', '2673', '35.3', '34.8', '71.4', '70.5', '154.8', '146.1', '386', '1028', '644', '608', '727', '734', '247', '208', '', '', '50.8', '48.5', '109.0', '102.4', '2565', '1053', '2321', '2198', '86.6', '83.4', '2441', '2776', '327', '295', '700', '713', '61.7', '50.2', '686', '663', '700', '713', '85.8', '85.2', '69.0', '60.9', '451.3', '456.3', '236.5', '228.5', '', '', '727', '734', '51085', '24652', '2810', '1972', '16.1', '0.34', '0.57', '2.40', '4.4', '-6.0', '100.0', '-100.0', '-11.0', '-45.8', '0.46', '0.48', '217', '204', '-518', '-1255', '174', '-620', '0.80', '0.72', '35.5', '19.2']
['Athlete 10', '', 'Countermovement Jump', '12/12/2019 10:12', '64.5', 'Trial 1', '', '', '', '116.50', '39.68', '0.346', '4731', '297', '35.4', '65.5', '151.3', '', '1141', '23.1', '1489', '21.6', '1396', '2.48', '-2392', '-1915', '-511', '0.0', '0', '217.2', '14007.0', '189.4', '12217.3', '185.7', '11976.9', '0', '151.7', '872', '-29.5', '193.6', '55.5', '0.413', '33.1', '16', '1003', '46', '2967', '64.3', '0.162', '73', '4715', '575', '728.5', '1029.4', '633', '5.024', '324', '21.6', '1396', '815', '-0.994', '-64.1', '0.54', '0.82', '470', '1250', '1396', '27.1', '10.7', '28.1', '28.1', '11.1', '3479.03', '828.1', '369.3', '0.575', '0.809', '91.4', '60.0', '11.8', '43.5', '2806', '11.834', '434.8', '223.9', '0.31', '3.419', '3.765', '3.603', '3.190', '3.190', '19.829', '21.6', '1396', '0.229', '630', '2.245', '1339.150', '92.401', '28.986', '36262', '557.835', '28.986', '39', '2502', '5034', '0.906', '', '15.8', '14.9', '13.0', '11.8', '', '11.8', '15.8', '0.0', '', '-2.5', '20.3', '-86.7', '-13.1', '22.0', '7.6', '9.6', '16.1', '-2.3', '10.8', '16.0', '10.5', '13.4', '33.4', '14.5', '', '15.8', '57.7', '46.0', '', '', '2166', '2573', '30.8', '36.2', '59.9', '68.8', '159.0', '180.2', '', '', '534', '606', '639', '759', '0', '0', '', '', '56.3', '54.9', '111.8', '140.2', '600', '80', '1405', '1220', '73.1', '93.7', '2264', '2451', '301', '333', '637', '759', '99.7', '97.4', '590', '661', '637', '759', '87.4', '97.6', '71.6', '82.6', '423.1', '635.3', '230.4', '269.3', '', '', '639', '759', '13358', '31554', '1176', '2177', '12.6', '0.29', '0.66', '2.35', '1.3', '100.0', '100.0', '35.4', '3.3', '60.1', '0.38', '0.38', '-527', '-1388', '-93', '-418', '-1016', '-1376', '0.82', '0.85', '20.7', '52.0']
['Athlete 10', '', 'Countermovement Jump', '12/12/2019 10:12', '64.5', 'Trial 2', '', '', '', '102.26', '35.78', '0.317', '4638', '310', '36.1', '65.3', '149.4', '', '1113', '22.8', '1470', '22.1', '1424', '2.49', '-3208', '-2403', '-867', '0.0', '0', '218.8', '14110.4', '185.6', '11972.6', '182.4', '11767.9', '2', '153.8', '886', '-30.8', '185.8', '56.9', '0.407', '40.6', '28', '1828', '55', '3545', '69.3', '0.169', '73', '4684', '576', '760.9', '1042.2', '634', '5.230', '337', '22.1', '1427', '871', '-1.068', '-68.9', '0.53', '0.82', '474', '1261', '1424', '27.5', '10.8', '27.4', '27.5', '10.8', '3661.87', '829.5', '300.5', '0.575', '0.811', '93.9', '55.5', '12.3', '43.0', '2773', '12.274', '431.2', '229.4', '0.31', '9.444', '9.761', '9.592', '9.185', '9.185', '19.129', '22.1', '1427', '0.259', '652', '2.200', '1331.238', '93.187', '29.984', '36664', '523.544', '29.984', '40', '2566', '5101', '0.741', '', '13.7', '16.7', '15.0', '14.7', '', '14.7', '14.1', '100.0', '', '-13.5', '13.1', '11.7', '20.0', '19.4', '10.1', '1.4', '13.7', '-16.0', '8.7', '13.9', '12.5', '17.4', '21.0', '14.7', '', '13.7', '56.1', '44.0', '', '', '2149', '2491', '30.8', '36.9', '59.1', '69.5', '159.0', '186.5', '', '', '512', '601', '659', '767', '-300', '300', '', '', '61.4', '53.1', '112.1', '129.0', '700', '793', '1500', '1875', '78.6', '97.6', '2217', '2467', '315', '319', '661', '767', '102.5', '86.1', '602', '659', '659', '765', '89.6', '102.4', '69.4', '84.1', '462.6', '585.3', '236.9', '277.7', '', '', '661', '767', '13555', '30845', '1193', '2128', '13.5', '0.31', '0.59', '2.32', '0.3', '58.7', '100.0', '-23.1', '5.6', '43.6', '0.37', '0.37', '-929', '-1474', '-244', '-622', '-1770', '-1438', '0.78', '0.82', '29.0', '51.4']
['Athlete 10', '', 'Countermovement Jump', '12/12/2019 10:12', '64.5', 'Trial 3', '', '', '', '115.46', '38.78', '0.351', '4519', '304', '37.1', '65.7', '151.0', '', '1128', '22.6', '1458', '22.1', '1426', '2.45', '-2626', '-2918', '-1044', '20.2', '1300', '228.8', '14755.4', '178.1', '11485.8', '176.2', '11362.1', '1', '150.6', '905', '-31.6', '197.7', '56.1', '0.443', '33.8', '5', '316', '45', '2923', '66.1', '0.158', '78', '5014', '601', '729.3', '1050.6', '633', '5.148', '332', '22.1', '1428', '834', '-1.026', '-66.2', '0.53', '0.80', '479', '1256', '1424', '28.1', '11.1', '27.9', '27.9', '11.0', '3258.23', '786.3', '398.4', '0.597', '0.845', '90.2', '60.8', '12.3', '43.0', '2775', '12.294', '443.9', '224.1', '0.31', '16.154', '16.505', '16.347', '15.904', '15.904', '19.829', '22.1', '1428', '0.250', '645', '2.209', '1396.483', '90.771', '29.775', '39277', '552.827', '29.775', '40', '2553', '5199', '0.986', '', '7.6', '11.4', '12.3', '10.5', '', '10.5', '8.3', '100.0', '', '-8.9', '10.2', '-51.7', '5.2', '12.3', '0.2', '1.7', '7.1', '-6.9', '6.8', '7.7', '11.4', '9.3', '12.4', '11.2', '', '7.6', '-14.0', '-14.0', '', '', '2181', '2359', '32.3', '36.4', '60.3', '68.7', '162.2', '181.1', '', '', '533', '595', '684', '746', '0', '1300', '', '', '58.9', '53.6', '121.0', '134.8', '230', '111', '1409', '1486', '77.6', '88.5', '2505', '2509', '314', '319', '689', '742', '110.8', '103.2', '606', '650', '684', '741', '87.5', '98.8', '74.7', '82.3', '446.6', '509.6', '236.6', '266.4', '', '', '689', '746', '21115', '18162', '1372', '1180', '12.9', '0.30', '0.67', '2.34', '2.0', '-8.4', '-27.7', '-86.7', '-2.3', '15.9', '0.37', '0.38', '-1518', '-1400', '-586', '-459', '-1710', '-916', '0.85', '0.83', '28.3', '33.6']
['Athlete 10', '', 'Countermovement Jump', '12/12/2019 10:12', '64.5', 'Trial 1', '', '', '', '116.50', '39.68', '0.346', '4731', '297', '35.4', '65.5', '151.3', '', '1141', '23.1', '1489', '21.6', '1396', '2.48', '-2392', '-1915', '-511', '0.0', '0', '217.2', '14007.0', '189.4', '12217.3', '185.7', '11976.9', '0', '151.7', '872', '-29.5', '193.6', '55.5', '0.413', '33.1', '16', '1003', '46', '2967', '64.3', '0.162', '73', '4715', '575', '728.5', '1029.4', '633', '5.024', '324', '21.6', '1396', '815', '-0.994', '-64.1', '0.54', '0.82', '470', '1250', '1396', '27.1', '10.7', '28.1', '28.1', '11.1', '3479.03', '828.1', '369.3', '0.575', '0.809', '91.4', '60.0', '11.8', '43.5', '2806', '11.834', '434.8', '223.9', '0.31', '3.419', '3.765', '3.603', '3.190', '3.190', '19.829', '21.6', '1396', '0.229', '630', '2.245', '1339.150', '92.401', '28.986', '36262', '557.835', '28.986', '39', '2502', '5034', '0.906', '', '15.8', '14.9', '13.0', '11.8', '', '11.8', '15.8', '0.0', '', '-2.5', '20.3', '-86.7', '-13.1', '22.0', '7.6', '9.6', '16.1', '-2.3', '10.8', '16.0', '10.5', '13.4', '33.4', '14.5', '', '15.8', '57.7', '46.0', '', '', '2166', '2573', '30.8', '36.2', '59.9', '68.8', '159.0', '180.2', '', '', '534', '606', '639', '759', '0', '0', '', '', '56.3', '54.9', '111.8', '140.2', '600', '80', '1405', '1220', '73.1', '93.7', '2264', '2451', '301', '333', '637', '759', '99.7', '97.4', '590', '661', '637', '759', '87.4', '97.6', '71.6', '82.6', '423.1', '635.3', '230.4', '269.3', '', '', '639', '759', '13358', '31554', '1176', '2177', '12.6', '0.29', '0.66', '2.35', '1.3', '100.0', '100.0', '35.4', '3.3', '60.1', '0.38', '0.38', '-527', '-1388', '-93', '-418', '-1016', '-1376', '0.82', '0.85', '20.7', '52.0']
['Athlete 10', '', 'Countermovement Jump', '12/12/2019 10:12', '64.5', 'Trial 2', '', '', '', '102.26', '35.78', '0.317', '4638', '310', '36.1', '65.3', '149.4', '', '1113', '22.8', '1470', '22.1', '1424', '2.49', '-3208', '-2403', '-867', '0.0', '0', '218.8', '14110.4', '185.6', '11972.6', '182.4', '11767.9', '2', '153.8', '886', '-30.8', '185.8', '56.9', '0.407', '40.6', '28', '1828', '55', '3545', '69.3', '0.169', '73', '4684', '576', '760.9', '1042.2', '634', '5.230', '337', '22.1', '1427', '871', '-1.068', '-68.9', '0.53', '0.82', '474', '1261', '1424', '27.5', '10.8', '27.4', '27.5', '10.8', '3661.87', '829.5', '300.5', '0.575', '0.811', '93.9', '55.5', '12.3', '43.0', '2773', '12.274', '431.2', '229.4', '0.31', '9.444', '9.761', '9.592', '9.185', '9.185', '19.129', '22.1', '1427', '0.259', '652', '2.200', '1331.238', '93.187', '29.984', '36664', '523.544', '29.984', '40', '2566', '5101', '0.741', '', '13.7', '16.7', '15.0', '14.7', '', '14.7', '14.1', '100.0', '', '-13.5', '13.1', '11.7', '20.0', '19.4', '10.1', '1.4', '13.7', '-16.0', '8.7', '13.9', '12.5', '17.4', '21.0', '14.7', '', '13.7', '56.1', '44.0', '', '', '2149', '2491', '30.8', '36.9', '59.1', '69.5', '159.0', '186.5', '', '', '512', '601', '659', '767', '-300', '300', '', '', '61.4', '53.1', '112.1', '129.0', '700', '793', '1500', '1875', '78.6', '97.6', '2217', '2467', '315', '319', '661', '767', '102.5', '86.1', '602', '659', '659', '765', '89.6', '102.4', '69.4', '84.1', '462.6', '585.3', '236.9', '277.7', '', '', '661', '767', '13555', '30845', '1193', '2128', '13.5', '0.31', '0.59', '2.32', '0.3', '58.7', '100.0', '-23.1', '5.6', '43.6', '0.37', '0.37', '-929', '-1474', '-244', '-622', '-1770', '-1438', '0.78', '0.82', '29.0', '51.4']
['Athlete 10', '', 'Countermovement Jump', '12/12/2019 10:12', '64.5', 'Trial 3', '', '', '', '115.46', '38.78', '0.351', '4519', '304', '37.1', '65.7', '151.0', '', '1128', '22.6', '1458', '22.1', '1426', '2.45', '-2626', '-2918', '-1044', '20.2', '1300', '228.8', '14755.4', '178.1', '11485.8', '176.2', '11362.1', '1', '150.6', '905', '-31.6', '197.7', '56.1', '0.443', '33.8', '5', '316', '45', '2923', '66.1', '0.158', '78', '5014', '601', '729.3', '1050.6', '633', '5.148', '332', '22.1', '1428', '834', '-1.026', '-66.2', '0.53', '0.80', '479', '1256', '1424', '28.1', '11.1', '27.9', '27.9', '11.0', '3258.23', '786.3', '398.4', '0.597', '0.845', '90.2', '60.8', '12.3', '43.0', '2775', '12.294', '443.9', '224.1', '0.31', '16.154', '16.505', '16.347', '15.904', '15.904', '19.829', '22.1', '1428', '0.250', '645', '2.209', '1396.483', '90.771', '29.775', '39277', '552.827', '29.775', '40', '2553', '5199', '0.986', '', '7.6', '11.4', '12.3', '10.5', '', '10.5', '8.3', '100.0', '', '-8.9', '10.2', '-51.7', '5.2', '12.3', '0.2', '1.7', '7.1', '-6.9', '6.8', '7.7', '11.4', '9.3', '12.4', '11.2', '', '7.6', '-14.0', '-14.0', '', '', '2181', '2359', '32.3', '36.4', '60.3', '68.7', '162.2', '181.1', '', '', '533', '595', '684', '746', '0', '1300', '', '', '58.9', '53.6', '121.0', '134.8', '230', '111', '1409', '1486', '77.6', '88.5', '2505', '2509', '314', '319', '689', '742', '110.8', '103.2', '606', '650', '684', '741', '87.5', '98.8', '74.7', '82.3', '446.6', '509.6', '236.6', '266.4', '', '', '689', '746', '21115', '18162', '1372', '1180', '12.9', '0.30', '0.67', '2.34', '2.0', '-8.4', '-27.7', '-86.7', '-2.3', '15.9', '0.37', '0.38', '-1518', '-1400', '-586', '-459', '-1710', '-916', '0.85', '0.83', '28.3', '33.6']
['Athlete 27', '', 'Countermovement Jump', '12/12/2019 09:07', '58.6', 'Trial 1', '', '', '', '193.59', '53.97', '0.544', '4279', '281', '26.7', '54.9', '142.6', '1736', '1080', '24.1', '1411', '22.2', '1303', '2.56', '1572', '1059', '1235', '22.7', '1328', '176.1', '10321.8', '185.4', '10862.2', '222.0', '13008.4', '188', '138.7', '1008', '-30.4', '258.7', '53.2', '0.495', '15.3', '7', '439', '19', '1142', '42.5', '0.232', '35', '2046', '727', '603.0', '758.1', '575', '4.101', '240', '18.0', '1053', '459', '-0.724', '-42.4', '0.50', '0.69', '503', '1240', '1053', '31.0', '12.2', '30.2', '30.2', '11.9', '2040.96', '563.3', '431.8', '0.915', '0.945', '79.8', '62.9', '12.4', '48.4', '2837', '12.424', '365.8', '192.6', '0.31', '2.288', '2.832', '2.600', '2.105', '2.105', '19.670', '22.2', '1303', '0.183', '573', '2.288', '1677.420', '95.613', '40.797', '52025', '445.892', '40.797', '51', '2965', '5762', '0.486', '', '2.8', '-7.1', '-6.6', '-5.9', '41.6', '-5.9', '2.8', '41.3', '', '7.2', '-1.7', '51.9', '37.2', '-12.8', '-19.7', '1.4', '-7.1', '11.7', '-3.6', '-7.1', '-5.7', '-6.0', '0.5', '-7.5', '', '2.8', '-23.0', '-25.7', '', '', '2123', '2185', '28.7', '26.7', '58.1', '54.3', '156.6', '147.5', '768', '1314', '557', '524', '646', '665', '491', '837', '', '', '51.3', '55.3', '165.4', '162.6', '396', '823', '702', '1117', '93.9', '81.9', '1135', '911', '285', '290', '546', '507', '113.5', '128.5', '632', '609', '546', '507', '82.5', '77.8', '74.2', '69.7', '445.3', '447.5', '246.0', '227.6', '', '', '646', '665', '30054', '23129', '1713', '1272', '7.8', '0.16', '0.79', '2.44', '-0.8', '7.8', '33.0', '4.5', '-0.3', '-0.8', '0.37', '0.37', '508', '551', '495', '740', '768', '804', '0.90', '0.90', '32.1', '31.8']
['Athlete 27', '', 'Countermovement Jump', '12/12/2019 09:07', '58.6', 'Trial 2', '', '', '', '138.93', '42.75', '0.389', '4382', '280', '28.8', '58.4', '148.8', '1400', '1104', '25.6', '1500', '21.8', '1278', '2.64', '334', '581', '669', '12.9', '757', '192.8', '11300.1', '202.9', '11889.4', '222.8', '13054.8', '189', '144.4', '910', '-29.2', '225.0', '52.1', '0.418', '29.4', '9', '538', '32', '1890', '47.1', '0.212', '45', '2642', '630', '650.5', '797.0', '575', '4.533', '266', '19.4', '1135', '506', '-0.803', '-47.1', '0.57', '0.82', '519', '1209', '1135', '33.0', '13.0', '32.9', '32.9', '13.0', '2521.01', '710.6', '399.6', '0.819', '0.850', '84.2', '64.6', '12.0', '49.0', '2872', '12.002', '382.8', '201.9', '0.36', '8.104', '8.493', '8.281', '7.863', '7.863', '16.570', '21.8', '1278', '0.241', '589', '2.375', '1266.493', '82.322', '36.579', '41818', '492.239', '36.579', '46', '2718', '5262', '0.607', '', '2.3', '10.2', '10.2', '5.1', '-30.6', '5.1', '2.3', '-43.9', '', '-10.4', '-5.8', '57.9', '30.2', '-2.8', '30.1', '-5.6', '8.5', '-8.1', '-0.5', '8.5', '9.8', '-0.5', '7.3', '2.8', '', '2.3', '4.1', '1.1', '', '', '2174', '2225', '27.2', '30.3', '54.8', '61.1', '150.8', '158.9', '928', '644', '538', '567', '634', '649', '485', '272', '', '', '55.0', '49.3', '130.3', '122.7', '130', '309', '729', '1044', '85.6', '83.3', '1087', '1555', '296', '279', '542', '593', '100.6', '92.5', '606', '603', '542', '593', '78.1', '86.6', '72.7', '72.4', '466.6', '503.4', '233.5', '240.2', '', '', '634', '649', '20812', '21706', '1374', '1389', '8.6', '0.18', '0.77', '2.54', '5.4', '32.1', '-48.0', '57.3', '-10.2', '13.3', '0.36', '0.38', '235', '346', '440', '229', '100', '234', '0.93', '0.84', '34.1', '39.3']
['Athlete 27', '', 'Countermovement Jump', '12/12/2019 09:07', '58.6', 'Trial 3', '', '', '', '107.86', '30.27', '0.247', '5146', '229', '40.2', '81.3', '148.1', '806', '1219', '28.8', '1690', '24.0', '1409', '2.63', '806', '601', '-2633', '10.5', '614', '324.3', '19005.3', '332.4', '19478.1', '302.2', '17706.8', '105', '139.0', '816', '-27.4', '256.3', '47.2', '0.444', '42.5', '31', '1808', '67', '3952', '56.6', '0.143', '92', '5389', '587', '747.0', '970.1', '575', '4.566', '268', '22.9', '1344', '709', '-0.964', '-56.5', '0.64', '0.89', '524', '1282', '1344', '33.7', '13.3', '32.5', '32.6', '12.8', '3566.05', '819.1', '368.0', '0.692', '0.756', '92.9', '55.1', '14.2', '51.1', '2993', '14.233', '397.3', '210.6', '0.41', '12.649', '12.896', '12.753', '12.309', '12.309', '18.370', '24.0', '1409', '0.340', '546', '2.334', '1516.382', '89.467', '41.581', '51039', '507.995', '41.581', '51', '3011', '6485', '0.628', '', '2.0', '-3.0', '0.2', '-0.5', '92.9', '-0.6', '2.0', '100.0', '', '-3.0', '-6.8', '76.7', '-20.7', '-10.2', '-17.4', '-3.5', '-8.4', '1.4', '-1.4', '-8.4', '0.6', '-2.0', '2.7', '-3.5', '', '2.0', '18.5', '25.3', '', '', '2572', '2624', '35.0', '34.0', '69.3', '69.4', '140.2', '139.5', '74', '1042', '611', '608', '704', '718', '-106', '720', '', '', '47.9', '46.5', '95.5', '88.9', '62', '266', '1516', '1201', '73.1', '65.6', '2950', '2438', '293', '283', '702', '643', '98.6', '100.0', '646', '636', '702', '643', '79.0', '79.5', '61.2', '60.0', '455.0', '467.5', '210.1', '202.8', '', '', '704', '718', '25505', '31310', '1403', '1879', '12.1', '0.24', '0.59', '2.53', '0.7', '100.0', '-13.6', '100.0', '-2.6', '42.1', '0.49', '0.50', '-130', '731', '-1400', '-1233', '-236', '1042', '0.78', '0.76', '21.9', '37.9']
['Athlete 27', '', 'Countermovement Jump', '12/12/2019 09:07', '58.6', 'Trial 1', '', '', '', '193.59', '53.97', '0.544', '4279', '281', '26.7', '54.9', '142.6', '1736', '1080', '24.1', '1411', '22.2', '1303', '2.56', '1572', '1059', '1235', '22.7', '1328', '176.1', '10321.8', '185.4', '10862.2', '222.0', '13008.4', '188', '138.7', '1008', '-30.4', '258.7', '53.2', '0.495', '15.3', '7', '439', '19', '1142', '42.5', '0.232', '35', '2046', '727', '603.0', '758.1', '575', '4.101', '240', '18.0', '1053', '459', '-0.724', '-42.4', '0.50', '0.69', '503', '1240', '1053', '31.0', '12.2', '30.2', '30.2', '11.9', '2040.96', '563.3', '431.8', '0.915', '0.945', '79.8', '62.9', '12.4', '48.4', '2837', '12.424', '365.8', '192.6', '0.31', '2.288', '2.832', '2.600', '2.105', '2.105', '19.670', '22.2', '1303', '0.183', '573', '2.288', '1677.420', '95.613', '40.797', '52025', '445.892', '40.797', '51', '2965', '5762', '0.486', '', '2.8', '-7.1', '-6.6', '-5.9', '41.6', '-5.9', '2.8', '41.3', '', '7.2', '-1.7', '51.9', '37.2', '-12.8', '-19.7', '1.4', '-7.1', '11.7', '-3.6', '-7.1', '-5.7', '-6.0', '0.5', '-7.5', '', '2.8', '-23.0', '-25.7', '', '', '2123', '2185', '28.7', '26.7', '58.1', '54.3', '156.6', '147.5', '768', '1314', '557', '524', '646', '665', '491', '837', '', '', '51.3', '55.3', '165.4', '162.6', '396', '823', '702', '1117', '93.9', '81.9', '1135', '911', '285', '290', '546', '507', '113.5', '128.5', '632', '609', '546', '507', '82.5', '77.8', '74.2', '69.7', '445.3', '447.5', '246.0', '227.6', '', '', '646', '665', '30054', '23129', '1713', '1272', '7.8', '0.16', '0.79', '2.44', '-0.8', '7.8', '33.0', '4.5', '-0.3', '-0.8', '0.37', '0.37', '508', '551', '495', '740', '768', '804', '0.90', '0.90', '32.1', '31.8']
['Athlete 27', '', 'Countermovement Jump', '12/12/2019 09:07', '58.6', 'Trial 2', '', '', '', '138.93', '42.75', '0.389', '4382', '280', '28.8', '58.4', '148.8', '1400', '1104', '25.6', '1500', '21.8', '1278', '2.64', '334', '581', '669', '12.9', '757', '192.8', '11300.1', '202.9', '11889.4', '222.8', '13054.8', '189', '144.4', '910', '-29.2', '225.0', '52.1', '0.418', '29.4', '9', '538', '32', '1890', '47.1', '0.212', '45', '2642', '630', '650.5', '797.0', '575', '4.533', '266', '19.4', '1135', '506', '-0.803', '-47.1', '0.57', '0.82', '519', '1209', '1135', '33.0', '13.0', '32.9', '32.9', '13.0', '2521.01', '710.6', '399.6', '0.819', '0.850', '84.2', '64.6', '12.0', '49.0', '2872', '12.002', '382.8', '201.9', '0.36', '8.104', '8.493', '8.281', '7.863', '7.863', '16.570', '21.8', '1278', '0.241', '589', '2.375', '1266.493', '82.322', '36.579', '41818', '492.239', '36.579', '46', '2718', '5262', '0.607', '', '2.3', '10.2', '10.2', '5.1', '-30.6', '5.1', '2.3', '-43.9', '', '-10.4', '-5.8', '57.9', '30.2', '-2.8', '30.1', '-5.6', '8.5', '-8.1', '-0.5', '8.5', '9.8', '-0.5', '7.3', '2.8', '', '2.3', '4.1', '1.1', '', '', '2174', '2225', '27.2', '30.3', '54.8', '61.1', '150.8', '158.9', '928', '644', '538', '567', '634', '649', '485', '272', '', '', '55.0', '49.3', '130.3', '122.7', '130', '309', '729', '1044', '85.6', '83.3', '1087', '1555', '296', '279', '542', '593', '100.6', '92.5', '606', '603', '542', '593', '78.1', '86.6', '72.7', '72.4', '466.6', '503.4', '233.5', '240.2', '', '', '634', '649', '20812', '21706', '1374', '1389', '8.6', '0.18', '0.77', '2.54', '5.4', '32.1', '-48.0', '57.3', '-10.2', '13.3', '0.36', '0.38', '235', '346', '440', '229', '100', '234', '0.93', '0.84', '34.1', '39.3']
['Athlete 27', '', 'Countermovement Jump', '12/12/2019 09:07', '58.6', 'Trial 3', '', '', '', '107.86', '30.27', '0.247', '5146', '229', '40.2', '81.3', '148.1', '806', '1219', '28.8', '1690', '24.0', '1409', '2.63', '806', '601', '-2633', '10.5', '614', '324.3', '19005.3', '332.4', '19478.1', '302.2', '17706.8', '105', '139.0', '816', '-27.4', '256.3', '47.2', '0.444', '42.5', '31', '1808', '67', '3952', '56.6', '0.143', '92', '5389', '587', '747.0', '970.1', '575', '4.566', '268', '22.9', '1344', '709', '-0.964', '-56.5', '0.64', '0.89', '524', '1282', '1344', '33.7', '13.3', '32.5', '32.6', '12.8', '3566.05', '819.1', '368.0', '0.692', '0.756', '92.9', '55.1', '14.2', '51.1', '2993', '14.233', '397.3', '210.6', '0.41', '12.649', '12.896', '12.753', '12.309', '12.309', '18.370', '24.0', '1409', '0.340', '546', '2.334', '1516.382', '89.467', '41.581', '51039', '507.995', '41.581', '51', '3011', '6485', '0.628', '', '2.0', '-3.0', '0.2', '-0.5', '92.9', '-0.6', '2.0', '100.0', '', '-3.0', '-6.8', '76.7', '-20.7', '-10.2', '-17.4', '-3.5', '-8.4', '1.4', '-1.4', '-8.4', '0.6', '-2.0', '2.7', '-3.5', '', '2.0', '18.5', '25.3', '', '', '2572', '2624', '35.0', '34.0', '69.3', '69.4', '140.2', '139.5', '74', '1042', '611', '608', '704', '718', '-106', '720', '', '', '47.9', '46.5', '95.5', '88.9', '62', '266', '1516', '1201', '73.1', '65.6', '2950', '2438', '293', '283', '702', '643', '98.6', '100.0', '646', '636', '702', '643', '79.0', '79.5', '61.2', '60.0', '455.0', '467.5', '210.1', '202.8', '', '', '704', '718', '25505', '31310', '1403', '1879', '12.1', '0.24', '0.59', '2.53', '0.7', '100.0', '-13.6', '100.0', '-2.6', '42.1', '0.49', '0.50', '-130', '731', '-1400', '-1233', '-236', '1042', '0.78', '0.76', '21.9', '37.9']
