['ForceDecks Test Results Export', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
['Athlete 52', 'jcheng4', 'Countermovement Jump', '3/27/2019 18:45', '79.4', 'Trial 2', '', '', '', '109.79', '40.36', '0.314', '5578', '286', '94.9', '150.4', '258.7', '', '1682', '39.2', '3115', '36.9', '2929', '3.34', '-12588', '-13776', '-6863', '0.0', '0', '692.3', '54971.9', '370.0', '29380.4', '259.9', '20632.5', '0', '158.1', '778', '-52.9', '172.0', '46.6', '0.354', '73.0', '29', '2281', '117', '9257', '163.7', '0.138', '195', '15503', '492', '1014.0', '1963.1', '783', '10.495', '833', '37.1', '2949', '3301', '-2.060', '-163.6', '0.87', '1.37', '674', '1572', '2929', '55.7', '21.9', '53.9', '54.1', '21.3', '5535.14', '2156.9', '22.5', '0.484', '0.730', '177.8', '80.9', '27.3', '61.9', '4913', '27.084', '761.5', '429.2', '0.72', '9.038', '9.352', '9.214', '8.860', '8.860', '17.248', '37.1', '2949', '0.178', '1309', '3.126', '3541.563', '141.663', '89.547', '197218', '884.150', '89.547', '99', '7889', '21782', '0.906', '', '12.5', '10.3', '9.1', '4.3', '', '4.3', '11.7', '0.0', '', '4.9', '15.0', '25.1', '9.7', '14.0', '5.1', '9.0', '12.5', '-4.0', '-1.9', '11.7', '9.0', '-3.1', '0.3', '8.5', '', '12.5', '-10.7', '-10.7', '', '', '2603', '2975', '63.3', '70.5', '108.7', '119.6', '235.4', '246.0', '', '', '822', '859', '1373', '1556', '0', '0', '', '', '45.4', '47.7', '145.9', '171.6', '995', '1329', '4475', '4954', '125.3', '145.8', '7550', '7953', '373', '410', '1376', '1573', '57.2', '54.9', '793', '778', '1373', '1556', '137.4', '151.0', '98.0', '95.0', '682.5', '684.6', '358.2', '391.7', '', '', '1376', '1573', '104190', '93028', '4168', '3721', '41.6', '0.67', '0.45', '3.26', '5.0', '19.7', '32.7', '24.7', '-11.9', '-21.3', '0.46', '0.49', '-6270', '-7506', '-2950', '-3914', '-5602', '-6986', '0.71', '0.63', '43.6', '34.3']
['Athlete 52', 'jcheng4', 'Countermovement Jump', '3/27/2019 18:45', '79.4', 'Trial 3', '', '', '', '118.31', '42.64', '0.336', '5330', '284', '95.7', '148.6', '250.4', '', '1659', '38.0', '3015', '37.3', '2964', '3.24', '-13852', '-14512', '-7223', '0.0', '0', '687.0', '54550.9', '353.9', '28097.2', '248.0', '19689.8', '0', '156.3', '788', '-55.8', '177.5', '47.3', '0.360', '69.2', '29', '2275', '109', '8675', '164.1', '0.144', '192', '15217', '504', '987.6', '1917.3', '785', '10.813', '859', '37.4', '2973', '3285', '-2.052', '-162.9', '0.84', '1.31', '662', '1548', '2964', '53.7', '21.2', '50.9', '51.2', '20.2', '5241.53', '2082.7', '49.1', '0.496', '0.740', '174.6', '75.9', '27.6', '59.1', '4690', '27.521', '743.2', '420.6', '0.68', '13.942', '14.278', '14.134', '13.774', '13.774', '15.448', '37.4', '2973', '0.168', '1296', '3.030', '3889.251', '163.349', '100.714', '208936', '832.590', '100.714', '111', '8775', '24475', '0.764', '', '9.8', '6.5', '5.1', '2.8', '', '2.8', '9.3', '0.0', '', '5.3', '13.7', '11.5', '2.3', '12.5', '2.8', '8.0', '9.8', '-3.3', '-0.6', '9.3', '5.7', '-1.8', '0.5', '7.0', '', '9.8', '-14.2', '-9.9', '', '', '2530', '2805', '65.1', '69.6', '110.3', '116.2', '232.4', '239.1', '', '', '818', '841', '1410', '1554', '0', '0', '', '', '46.0', '48.6', '153.3', '177.5', '1231', '1391', '4460', '4564', '128.9', '147.3', '7501', '7716', '376', '409', '1411', '1565', '59.7', '57.7', '776', '772', '1410', '1554', '138.4', '146.8', '94.1', '92.4', '651.7', '654.9', '358.0', '384.9', '', '', '1411', '1565', '115938', '99448', '4638', '4177', '41.4', '0.70', '0.43', '3.17', '2.4', '14.9', '22.5', '31.4', '-7.4', '-2.8', '0.47', '0.49', '-6752', '-7760', '-3247', '-3976', '-5986', '-7866', '0.68', '0.63', '36.6', '35.6']
['Athlete 52', 'jcheng4', 'Countermovement Jump', '3/27/2019 18:45', '79.4', 'Trial 4', '', '', '', '109.72', '38.16', '0.316', '5121', '288', '88.7', '142.0', '249.2', '', '1642', '36.6', '2902', '35.0', '2780', '3.21', '-11476', '-12261', '-6233', '0.0', '0', '598.8', '47548.3', '340.3', '27022.0', '246.1', '19539.0', '0', '153.3', '828', '-54.3', '187.5', '47.5', '0.392', '75.6', '24', '1930', '108', '8553', '160.3', '0.148', '171', '13591', '540', '1020.5', '1860.3', '780', '9.828', '780', '35.0', '2781', '3009', '-2.036', '-161.7', '0.80', '1.23', '664', '1573', '2780', '54.0', '21.3', '49.5', '49.7', '19.6', '4978.21', '1840.0', '77.4', '0.536', '0.778', '171.3', '77.9', '25.2', '59.2', '4699', '25.207', '750.8', '416.6', '0.65', '19.682', '19.998', '19.850', '19.458', '19.458', '18.548', '35.0', '2781', '0.224', '1264', '2.987', '4777.954', '152.895', '94.266', '258231', '924.390', '94.266', '104', '8263', '23338', '0.764', '', '9.2', '7.3', '6.7', '0.3', '', '0.3', '8.3', '0.0', '', '9.3', '18.4', '80.7', '19.3', '16.5', '-6.4', '9.6', '9.2', '-4.8', '-7.3', '8.3', '6.5', '-8.9', '-12.8', '7.5', '', '9.2', '-25.1', '-20.4', '', '', '2448', '2696', '61.4', '66.2', '106.1', '113.7', '236.4', '237.1', '', '', '820', '822', '1330', '1451', '0', '0', '', '', '45.2', '49.8', '144.5', '177.2', '483', '2498', '4015', '4979', '125.4', '150.1', '7019', '6572', '370', '409', '1330', '1464', '73.5', '70.0', '816', '757', '1330', '1451', '136.9', '146.5', '99.4', '90.6', '742.8', '647.5', '357.2', '386.3', '', '', '1330', '1464', '149444', '111991', '4782', '3808', '37.9', '0.64', '0.45', '3.12', '6.4', '12.1', '28.5', '21.5', '-14.8', '-23.0', '0.45', '0.48', '-5781', '-6480', '-2727', '-3506', '-5182', '-6294', '0.73', '0.62', '43.6', '33.6']
['Athlete 13', 'jlittlef', 'Countermovement Jump', '3/27/2019 18:44', '82.4', 'Trial 1', '', '', '', '103.77', '30.22', '0.220', '8426', '212', '70.5', '145.3', '244.9', '3352', '1955', '37.9', '3125', '28.1', '2314', '3.07', '3352', '1842', '-8242', '28.5', '2352', '470.8', '38791.7', '490.9', '40453.8', '439.7', '36231.8', '82', '141.1', '728', '-27.5', '243.4', '41.4', '0.384', '69.7', '87', '7178', '102', '8423', '102.7', '0.132', '122', '10015', '516', '1125.7', '1584.3', '810', '5.199', '428', '25.7', '2121', '1542', '-1.251', '-103.1', '0.85', '1.19', '616', '2074', '2121', '46.5', '18.3', '44.8', '44.9', '17.7', '6748.25', '1676.1', '267.8', '0.598', '0.668', '154.2', '90.6', '18.3', '66.9', '5516', '18.273', '710.7', '356.0', '0.64', '3.384', '3.604', '3.472', '3.088', '3.088', '17.768', '28.1', '2314', '0.296', '891', '2.659', '1481.060', '85.902', '38.685', '68891', '1007.388', '38.685', '48', '3996', '10213', '1.256', '', '2.8', '6.3', '4.9', '4.1', '-28.5', '4.1', '2.8', '-44.8', '', '0.8', '4.1', '-32.8', '3.7', '7.5', '15.2', '4.8', '8.1', '2.1', '0.6', '8.1', '4.7', '3.2', '-16.8', '4.7', '', '2.8', '13.3', '-2.1', '', '', '4174', '4293', '53.7', '57.2', '110.2', '115.9', '203.8', '212.4', '1954', '1398', '957', '998', '1146', '1179', '1516', '837', '', '', '41.3', '41.6', '121.2', '126.3', '3982', '2677', '4083', '4237', '100.6', '108.8', '4595', '5420', '395', '415', '1016', '1105', '102.5', '104.7', '1034', '1040', '1016', '1105', '117.0', '122.8', '86.7', '89.6', '729.1', '606.9', '302.9', '318.0', '', '', '1146', '1179', '36103', '41641', '2383', '2332', '18.7', '0.28', '0.59', '2.97', '0.9', '-58.1', '-3.5', '-28.5', '-1.6', '-27.4', '0.54', '0.55', '1298', '544', '-4192', '-4050', '1954', '1398', '0.74', '0.73', '60.2', '43.7']
['Athlete 13', 'jlittlef', 'Countermovement Jump', '3/27/2019 18:44', '82.4', 'Trial 2', '', '', '', '115.79', '38.15', '0.264', '6125', '228', '69.7', '135.2', '231.7', '', '1818', '34.3', '2830', '27.2', '2240', '2.94', '-1756', '-1490', '-5741', '0.0', '0', '441.4', '36374.2', '416.3', '34301.2', '357.9', '29490.4', '0', '149.1', '692', '-36.6', '203.5', '44.6', '0.314', '75.8', '55', '4520', '95', '7865', '130.9', '0.150', '116', '9534', '464', '1095.9', '1678.7', '811', '7.695', '634', '27.2', '2240', '2145', '-1.587', '-130.7', '0.86', '1.28', '596', '1876', '2240', '43.5', '17.1', '40.3', '40.4', '15.9', '5678.31', '1970.4', '163.3', '0.464', '0.630', '153.0', '78.7', '17.4', '59.5', '4900', '17.373', '738.6', '373.0', '0.63', '9.022', '9.286', '9.136', '8.822', '8.822', '19.568', '27.2', '2240', '0.200', '946', '2.612', '1089.651', '78.455', '31.652', '47447', '1051.450', '31.652', '41', '3416', '9048', '1.333', '', '8.0', '7.3', '4.9', '3.2', '', '3.3', '8.0', '0.0', '', '-1.6', '2.4', '3.3', '10.8', '3.0', '23.7', '1.7', '7.9', '-1.0', '-3.3', '7.9', '4.0', '2.0', '18.2', '2.1', '', '8.0', '48.1', '25.2', '', '', '2937', '3192', '53.0', '57.1', '105.3', '110.7', '204.6', '211.4', '', '', '894', '924', '1074', '1167', '0', '0', '', '', '45.0', '44.3', '142.8', '146.3', '2009', '2078', '3682', '4127', '124.1', '128.0', '4126', '5408', '402', '409', '1074', '1166', '61.8', '61.2', '954', '922', '1074', '1166', '120.0', '125.1', '84.5', '86.3', '621.7', '760.0', '327.6', '334.6', '', '', '1074', '1167', '30586', '58918', '2202', '2946', '26.0', '0.44', '0.51', '2.81', '1.8', '100.0', '1.9', '89.8', '-2.0', '41.1', '0.51', '0.52', '-192', '-1298', '-2844', '-2897', '-606', '-1150', '0.70', '0.69', '30.7', '52.1']
['Athlete 13', 'jlittlef', 'Countermovement Jump', '3/27/2019 18:44', '82.4', 'Trial 3', '', '', '', '115.45', '40.11', '0.284', '5937', '246', '67.7', '128.8', '223.0', '', '1710', '32.1', '2645', '27.2', '2241', '2.89', '-3178', '-2553', '-4146', '0.0', '0', '415.2', '34213.8', '376.5', '31020.2', '319.4', '26316.6', '0', '153.2', '708', '-37.8', '187.8', '47.5', '0.318', '68.3', '39', '3190', '88', '7276', '132.5', '0.144', '122', '10031', '462', '1049.6', '1725.4', '812', '7.993', '659', '27.2', '2245', '2147', '-1.602', '-132.0', '0.82', '1.26', '580', '1794', '2241', '41.2', '16.2', '37.4', '37.5', '14.8', '5474.08', '1912.8', '175.1', '0.458', '0.638', '154.2', '68.8', '17.4', '56.4', '4646', '17.395', '711.6', '370.5', '0.58', '14.668', '14.952', '14.808', '14.490', '14.490', '18.968', '27.2', '2245', '0.178', '961', '2.589', '1391.095', '86.248', '33.356', '57365', '977.882', '33.356', '43', '3557', '9172', '1.060', '', '-11.6', '-9.6', '-8.4', '-2.1', '', '-2.2', '-11.4', '0.0', '', '-12.3', '-21.2', '-51.7', '-7.1', '-16.8', '9.9', '-14.2', '-11.6', '-9.1', '-1.6', '-11.5', '-8.4', '7.5', '1.5', '-9.6', '', '-11.6', '35.7', '21.2', '', '', '3152', '2785', '56.8', '51.3', '109.4', '100.2', '213.2', '208.7', '', '', '864', '846', '1189', '1053', '0', '0', '', '', '50.6', '44.4', '166.5', '131.2', '1725', '834', '3731', '3468', '135.9', '113.0', '4753', '5277', '437', '375', '1192', '1053', '65.5', '59.5', '904', '890', '1189', '1053', '131.9', '120.9', '81.2', '87.8', '688.1', '698.9', '347.4', '314.0', '', '', '1192', '1053', '24689', '38419', '1876', '2382', '26.1', '0.46', '0.45', '2.71', '-6.4', '-53.5', '-74.8', '-92.1', '15.2', '-2.3', '0.51', '0.48', '-1546', '-1007', '-2637', '-1509', '-2090', '-1088', '0.62', '0.73', '51.4', '50.2']
['Athlete 13', 'jlittlef', 'Countermovement Jump', '3/27/2019 18:44', '82.4', 'Trial 4', '', '', '', '115.93', '37.54', '0.262', '6274', '226', '73.1', '140.2', '236.7', '', '1849', '35.3', '2909', '27.9', '2302', '2.97', '-1386', '-2449', '-5753', '0.0', '0', '472.6', '38945.7', '420.9', '34682.1', '346.6', '28563.3', '0', '147.9', '698', '-36.7', '208.8', '43.8', '0.336', '74.5', '44', '3586', '97', '7963', '127.6', '0.136', '132', '10893', '472', '1093.9', '1743.6', '810', '7.596', '626', '28.0', '2303', '2071', '-1.556', '-128.2', '0.86', '1.27', '598', '1821', '2302', '43.8', '17.3', '41.7', '41.8', '16.5', '5685.80', '1964.5', '215.9', '0.470', '0.642', '155.0', '81.7', '18.1', '59.1', '4873', '18.131', '673.9', '372.7', '0.63', '19.708', '19.970', '19.834', '19.498', '19.498', '17.168', '28.0', '2303', '0.210', '960', '2.676', '1757.495', '108.965', '48.162', '77042', '936.862', '48.162', '58', '4777', '10514', '0.742', '', '-1.2', '-1.8', '-3.8', '-3.9', '', '-3.9', '-1.6', '0.0', '', '7.0', '-0.3', '41.0', '5.4', '-0.7', '-4.6', '3.3', '-1.2', '9.5', '-7.1', '-1.5', '-4.2', '-3.5', '-8.0', '-3.4', '', '-1.2', '-16.9', '-16.9', '', '', '3161', '3122', '57.3', '56.2', '112.6', '108.4', '213.8', '205.5', '', '', '943', '906', '1160', '1142', '0', '0', '', '', '42.2', '45.4', '143.3', '142.9', '1200', '2034', '3795', '4009', '119.1', '118.4', '5574', '5319', '398', '412', '1160', '1146', '68.1', '75.2', '944', '877', '1160', '1142', '125.4', '120.1', '88.4', '85.4', '800.1', '736.5', '331.8', '320.4', '', '', '1160', '1146', '42073', '34969', '2608', '2168', '25.1', '0.42', '0.53', '2.86', '0.2', '73.0', '-9.8', '100.0', '0.8', '15.3', '0.53', '0.53', '-897', '-1552', '-3011', '-2742', '-446', '-940', '0.71', '0.71', '53.5', '63.2']
['Athlete 38', 'cnelson5', 'Countermovement Jump', '3/27/2019 18:42', '90.9', 'Trial 1', '', '', '', '138.92', '47.25', '0.464', '4072', '334', '47.8', '86.2', '219.1', '', '1544', '22.9', '2080', '20.9', '1902', '2.61', '-2870', '-3351', '-748', '0.0', '0', '195.3', '17753.0', '159.5', '14498.5', '175.9', '15987.7', '0', '151.5', '982', '-46.8', '194.0', '57.7', '0.402', '41.1', '18', '1627', '38', '3421', '121.7', '0.246', '45', '4109', '648', '980.6', '1386.0', '891', '7.059', '642', '21.0', '1905', '1440', '-1.349', '-122.6', '0.53', '0.80', '516', '1775', '1902', '32.6', '12.8', '29.3', '29.4', '11.6', '3397.94', '1154.7', '315.2', '0.644', '0.910', '130.9', '88.2', '11.1', '46.3', '4209', '11.122', '662.1', '359.9', '0.33', '3.714', '4.178', '3.932', '3.530', '3.530', '19.024', '21.0', '1905', '0.184', '1116', '2.371', '3580.072', '193.324', '59.608', '116848', '687.416', '59.608', '69', '6310', '12912', '0.681', '', '-2.3', '-2.9', '-3.0', '5.1', '', '5.1', '-2.0', '0.0', '', '-2.8', '-0.8', '-26.4', '-6.7', '-0.7', '-9.9', '2.4', '-2.5', '6.6', '9.4', '-2.2', '-1.6', '12.5', '19.6', '1.3', '', '-2.3', '18.5', '12.0', '', '', '2062', '2015', '46.9', '45.5', '89.0', '86.3', '251.6', '265.2', '', '', '752', '792', '962', '942', '0', '0', '', '', '58.6', '56.9', '228.3', '226.5', '940', '692', '1773', '1654', '171.0', '169.9', '2161', '1948', '440', '451', '965', '941', '113.9', '121.9', '844', '931', '962', '941', '140.5', '138.3', '111.1', '126.9', '613.6', '763.2', '422.3', '427.9', '', '', '965', '942', '60439', '74166', '3264', '3708', '15.8', '0.34', '0.67', '2.40', '-8.0', '-10.1', '-37.1', '23.2', '13.8', '35.3', '0.35', '0.33', '-1756', '-1595', '-432', '-315', '-1286', '-1584', '0.79', '0.92', '37.8', '58.4']
['Athlete 38', 'cnelson5', 'Countermovement Jump', '3/27/2019 18:42', '90.9', 'Trial 2', '', '', '', '133.71', '48.75', '0.468', '3888', '350', '49.2', '90.1', '244.8', '', '1587', '25.4', '2305', '21.1', '1917', '2.80', '-2162', '-3079', '-1505', '3.9', '350', '214.5', '19494.9', '174.9', '15902.3', '169.3', '15389.9', '2', '157.4', '960', '-49.3', '174.3', '56.3', '0.362', '47.1', '24', '2146', '38', '3442', '123.4', '0.248', '45', '4121', '610', '992.5', '1389.1', '893', '7.903', '718', '21.1', '1917', '1510', '-1.358', '-123.5', '0.59', '0.92', '562', '1754', '1916', '38.7', '15.2', '36.9', '36.9', '14.5', '3268.53', '1354.7', '305.3', '0.604', '0.904', '138.0', '106.8', '11.3', '49.8', '4527', '11.279', '703.4', '378.0', '0.40', '8.776', '9.244', '8.996', '8.634', '8.634', '18.524', '21.1', '1917', '0.142', '1251', '2.581', '3908.593', '171.978', '63.444', '151330', '702.701', '63.444', '73', '6658', '16891', '0.687', '', '2.0', '1.5', '0.3', '0.8', '', '0.8', '1.8', '100.0', '', '10.0', '9.3', '-50.7', '-15.0', '1.6', '-3.9', '10.7', '2.0', '24.7', '1.8', '1.7', '-1.5', '3.2', '25.8', '0.6', '', '2.0', '47.0', '35.0', '', '', '1926', '1965', '46.5', '47.2', '89.5', '89.8', '277.3', '279.5', '', '', '790', '797', '950', '967', '-300', '650', '', '', '53.3', '59.2', '220.8', '243.4', '1304', '643', '1878', '1597', '170.9', '173.6', '2102', '2019', '421', '472', '950', '969', '85.6', '113.7', '869', '885', '950', '966', '147.6', '145.5', '129.7', '134.0', '614.8', '828.3', '446.2', '448.8', '', '', '950', '969', '67643', '127659', '3653', '5617', '16.6', '0.33', '0.77', '2.69', '-0.5', '35.9', '20.3', '8.3', '4.6', '23.9', '0.32', '0.32', '-1305', '-1774', '-683', '-822', '-1038', '-1124', '0.88', '0.92', '41.4', '54.4']
['Athlete 38', 'cnelson5', 'Countermovement Jump', '3/27/2019 18:42', '90.9', 'Trial 3', '', '', '', '136.05', '46.89', '0.468', '4244', '344', '53.3', '94.2', '244.8', '', '1600', '25.7', '2333', '22.4', '2037', '2.80', '-3882', '-4575', '-2195', '0.0', '0', '229.6', '20874.8', '176.2', '16012.8', '174.0', '15813.3', '0', '152.6', '998', '-48.1', '190.1', '55.8', '0.444', '44.0', '18', '1676', '39', '3540', '117.1', '0.210', '60', '5459', '654', '986.5', '1449.3', '892', '7.189', '653', '22.5', '2041', '1499', '-1.298', '-118.0', '0.56', '0.86', '562', '1773', '2037', '38.7', '15.2', '36.5', '36.7', '14.5', '3452.59', '1238.2', '380.7', '0.642', '0.940', '142.7', '102.0', '12.6', '50.0', '4542', '12.605', '692.9', '372.5', '0.39', '13.792', '14.260', '14.050', '13.606', '13.606', '19.024', '22.5', '2041', '0.186', '1236', '2.563', '2847.824', '148.087', '53.268', '110260', '699.830', '53.268', '63', '5734', '13039', '0.716', '', '0.8', '1.9', '0.8', '-1.2', '', '-1.2', '1.4', '0.0', '', '11.9', '8.7', '52.7', '2.8', '1.3', '-7.5', '10.8', '0.8', '20.3', '-2.8', '1.4', '0.4', '-3.1', '8.7', '-0.6', '', '0.8', '42.0', '28.2', '', '', '2118', '2136', '48.5', '49.4', '91.3', '92.0', '277.4', '274.0', '', '', '805', '795', '1011', '1026', '0', '0', '', '', '52.3', '59.3', '220.2', '241.1', '562', '1187', '1775', '1826', '151.1', '153.2', '2835', '2623', '420', '471', '1019', '1027', '123.2', '154.6', '899', '874', '1011', '1026', '147.7', '148.3', '129.7', '125.7', '657.4', '720.1', '425.5', '423.0', '', '', '1019', '1027', '59779', '103074', '3108', '4329', '16.5', '0.33', '0.71', '2.68', '2.0', '13.9', '31.3', '-1.3', '-3.4', '9.7', '0.33', '0.34', '-2139', '-2436', '-949', '-1246', '-1954', '-1928', '0.88', '0.85', '43.7', '48.4']
['Athlete 38', 'cnelson5', 'Countermovement Jump', '3/27/2019 18:42', '90.9', 'Trial 4', '', '', '', '128.42', '44.34', '0.470', '3451', '366', '47.5', '85.1', '241.7', '', '1549', '24.0', '2184', '20.8', '1893', '2.76', '-2610', '-3567', '-2276', '1.9', '175', '196.7', '17880.7', '155.4', '14123.0', '162.2', '14741.0', '4', '152.7', '1060', '-55.1', '189.6', '57.6', '0.460', '61.1', '6', '569', '34', '3065', '128.8', '0.234', '47', '4268', '694', '1022.1', '1441.5', '892', '7.763', '706', '20.9', '1901', '1633', '-1.424', '-129.5', '0.54', '0.82', '568', '1808', '1892', '39.5', '15.6', '35.7', '35.9', '14.1', '2631.70', '1150.3', '451.2', '0.676', '1.002', '130.1', '111.6', '11.1', '50.1', '4554', '11.014', '721.2', '380.6', '0.37', '19.884', '20.354', '20.120', '19.660', '19.660', '17.224', '20.9', '1901', '0.224', '1295', '2.519', '3046.790', '127.965', '45.868', '120495', '805.833', '45.868', '56', '5061', '13324', '0.756', '', '-5.1', '-3.4', '-2.5', '1.9', '', '1.8', '-2.9', '100.0', '', '-1.5', '-4.2', '-67.3', '-5.0', '-6.8', '-3.5', '0.3', '-6.4', '8.8', '2.0', '-4.3', '-1.2', '5.0', '14.7', '-1.8', '', '-5.1', '63.4', '41.8', '', '', '1795', '1704', '46.8', '45.3', '88.2', '86.0', '281.3', '286.6', '', '', '767', '782', '967', '939', '-150', '325', '', '', '58.0', '57.1', '245.2', '234.9', '532', '174', '1538', '1462', '174.6', '162.8', '2172', '2095', '445', '447', '989', '925', '133.9', '146.7', '895', '913', '967', '925', '147.0', '145.3', '134.3', '141.3', '683.8', '801.9', '453.9', '445.5', '', '', '989', '939', '34717', '94973', '2430', '4179', '18.0', '0.36', '0.86', '2.65', '-4.3', '-27.2', '-32.9', '-24.6', '6.1', '8.4', '0.31', '0.30', '-1997', '-1570', '-1299', '-977', '-1448', '-1162', '0.91', '0.97', '51.0', '55.7']
['Athlete 35', 'galmeida', 'Countermovement Jump', '3/27/2019 18:40', '89.1', 'Trial 1', '', '', '', '102.82', '36.05', '0.292', '5248', '284', '57.7', '106.7', '273.3', '', '1831', '32.9', '2935', '24.2', '2154', '3.14', '-5070', '-3122', '-120', '0.0', '0', '267.7', '23852.2', '243.4', '21684.0', '284.2', '25317.8', '0', '154.0', '810', '-41.5', '185.2', '47.8', '0.348', '91.1', '70', '6258', '80', '7130', '145.4', '0.178', '82', '7263', '526', '1185.2', '1688.6', '875', '7.704', '686', '24.4', '2177', '2184', '-1.641', '-146.2', '0.78', '1.19', '628', '2057', '2154', '48.3', '19.0', '47.5', '47.7', '18.8', '5072.74', '1827.4', '72.5', '0.516', '0.756', '149.0', '124.2', '14.6', '65.6', '5843', '14.373', '801.0', '426.5', '0.60', '3.398', '3.690', '3.512', '3.164', '3.164', '17.273', '24.4', '2177', '0.234', '1202', '2.841', '1433.797', '86.028', '36.871', '69317', '1143.775', '36.871', '47', '4159', '10465', '1.153', '', '-3.4', '-7.7', '-4.3', '3.9', '', '3.9', '-2.3', '0.0', '', '-0.6', '0.3', '36.7', '-7.5', '-4.5', '-29.0', '3.4', '-9.2', '17.3', '8.3', '-9.1', '-2.4', '10.5', '4.8', '0.2', '', '-3.4', '27.8', '17.1', '', '', '2753', '2658', '52.7', '48.6', '99.2', '94.9', '255.5', '265.9', '', '', '897', '934', '1128', '1103', '0', '0', '', '', '47.9', '47.6', '172.8', '173.4', '2300', '3636', '3668', '3395', '153.9', '147.0', '4248', '3015', '430', '445', '1142', '1037', '71.5', '86.4', '984', '1073', '1128', '1026', '138.2', '134.9', '117.3', '131.0', '797.1', '837.3', '407.7', '408.4', '', '', '1142', '1103', '37666', '52139', '2335', '2816', '24.5', '0.37', '0.83', '3.06', '-8.1', '-100.0', '100.0', '-73.2', '12.6', '34.6', '0.39', '0.36', '-2139', '-983', '-463', '343', '-3214', '-1856', '0.85', '0.97', '37.6', '57.5']
['Athlete 35', 'galmeida', 'Countermovement Jump', '3/27/2019 18:40', '89.1', 'Trial 2', '', '', '', '115.48', '43.55', '0.358', '4891', '310', '58.4', '105.0', '264.7', '', '1723', '30.8', '2745', '23.6', '2104', '3.08', '-3192', '-4112', '-1104', '0.0', '0', '286.0', '25483.3', '223.8', '19944.1', '232.4', '20704.5', '0', '160.5', '822', '-43.1', '165.2', '50.8', '0.314', '59.0', '32', '2863', '62', '5530', '141.0', '0.198', '70', '6255', '512', '1039.0', '1584.7', '876', '8.221', '732', '23.7', '2107', '1934', '-1.582', '-141.0', '0.75', '1.20', '614', '1878', '2104', '46.2', '18.2', '44.8', '45.0', '17.7', '4601.89', '1820.1', '124.5', '0.504', '0.770', '149.7', '115.0', '13.8', '60.0', '5342', '13.812', '798.7', '415.1', '0.56', '8.438', '8.796', '8.598', '8.284', '8.284', '17.773', '23.7', '2107', '0.154', '1233', '2.845', '3121.628', '143.595', '64.671', '144261', '1150.617', '64.671', '74', '6636', '18512', '1.172', '', '0.2', '-4.8', '-10.0', '-8.8', '', '-8.8', '-0.7', '0.0', '', '14.5', '-0.6', '-6.0', '-1.6', '-0.8', '12.8', '6.3', '0.9', '21.0', '-0.4', '0.1', '-12.1', '-5.0', '0.6', '-5.5', '', '0.2', '-32.0', '-23.2', '', '', '2459', '2463', '52.3', '49.8', '101.2', '91.1', '280.2', '255.4', '', '', '901', '822', '1060', '1053', '0', '0', '', '', '47.0', '55.0', '186.4', '185.4', '1428', '1342', '2782', '2739', '157.6', '156.4', '2914', '3341', '424', '452', '1052', '1061', '58.9', '74.5', '941', '937', '1052', '1053', '151.3', '132.9', '128.9', '122.5', '854.7', '859.5', '433.6', '409.6', '', '', '1060', '1061', '94198', '64025', '4333', '3329', '21.7', '0.36', '0.77', '2.97', '-1.2', '100.0', '7.5', '100.0', '7.6', '10.0', '0.36', '0.36', '-1119', '-2993', '-532', '-572', '-632', '-2560', '0.85', '0.92', '38.8', '43.0']
